pitch_name,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,count,pfx_z_inches,pfx_x_inches,pitch_group,launch_angle_group
Sinker,2023-10-01,92.1,-2.31,5.43,"Schwarber, Kyle",656941,676130,field_out,hit_into_play,,,,,4,Kyle Schwarber lines out sharply to right fielder DJ Stewart.,R,L,R,NYM,PHI,X,9.0,line_drive,3,1,2023,-1.31,1.02,-0.36,2.64,,,596117.0,0,3,Top,184.81,99.67,,,682626,,,7.814673291654524,-133.74367658852708,-3.360531433900883,-17.521285874783334,33.39257541536735,-19.45717135326795,3.32,1.57,286.0,102.7,17.0,91.7,2198.0,6.5,716355,676130,682626,624413,677595,683146,596019,641796,542364,621466,53.99,0.437,0.485,0.0,1.0,0.0,0.0,Solid Contact,16,5,0,0,0,0,0,0,0,0,Infield shade,Standard,208.0,0.037,-0.557,,,3-1,12.24,15.72,Fastballs,Sweet Spot
Sinker,2023-10-01,92.1,-2.49,5.37,"Schwarber, Kyle",656941,676130,,called_strike,,,,,11,Kyle Schwarber lines out sharply to right fielder DJ Stewart.,R,L,R,NYM,PHI,S,,,3,0,2023,-1.36,0.92,-0.85,3.0,,,596117.0,0,3,Top,,,,,682626,,,7.1132250337462,-133.85781562371005,-2.0777802431847925,-17.94423440598407,33.281070634758684,-21.014215358773548,3.49,1.69,,,,91.3,2201.0,6.2,716355,676130,682626,624413,677595,683146,596019,641796,542364,621466,54.27,,,,,,,,16,4,0,0,0,0,0,0,0,0,Infield shade,Standard,205.0,0.0,-0.105,,,3-0,11.040000000000001,16.32,Fastballs,Other
Sinker,2023-10-01,92.1,-2.38,5.43,"Schwarber, Kyle",656941,676130,,ball,,,,,11,Kyle Schwarber lines out sharply to right fielder DJ Stewart.,R,L,R,NYM,PHI,B,,,2,0,2023,-1.35,1.03,-1.0,3.41,,,596117.0,0,3,Top,,,,,682626,,,6.441941091611823,-133.83621844400153,-1.453157741301904,-17.680357450348428,33.253333844744176,-19.805537642412865,3.35,1.57,,,,91.5,2214.0,6.4,716355,676130,682626,624413,677595,683146,596019,641796,542364,621466,54.14,,,,,,,,16,3,0,0,0,0,0,0,0,0,Infield shade,Standard,206.0,0.0,0.174,,,2-0,12.36,16.200000000000003,Fastballs,Other
Four-Seam,2023-10-01,94.1,-2.32,5.51,"Schwarber, Kyle",656941,676130,,ball,,,,,11,Kyle Schwarber lines out sharply to right fielder DJ Stewart.,R,L,R,NYM,PHI,B,,,1,0,2023,-0.31,1.21,-1.88,3.44,,,596117.0,0,3,Top,,,,,682626,,,1.8423350462800656,-137.07738580691674,-2.325897463461939,-4.368416174942074,32.189880364770964,-16.61785028063036,3.4,1.6,,,,93.8,2473.0,6.2,716355,676130,682626,624413,677595,683146,596019,641796,542364,621466,54.33,,,,,,,,16,2,0,0,0,0,0,0,0,0,Infield shade,Standard,211.0,0.0,0.082,,,1-0,14.52,3.7199999999999998,Fastballs,Other
Changeup,2023-10-01,87.3,-2.55,5.4,"Schwarber, Kyle",656941,676130,,ball,,,,,13,Kyle Schwarber lines out sharply to right fielder DJ Stewart.,R,L,R,NYM,PHI,B,,,0,0,2023,-0.59,0.08,-0.83,1.04,,,596117.0,0,3,Top,,,,,682626,,,5.321347979812927,-126.95951699580996,-4.461946880924645,-7.424099197942826,26.214201576988952,-30.56547678846453,3.35,1.6,,,,86.8,1867.0,6.0,716355,676130,682626,624413,677595,683146,596019,641796,542364,621466,54.49,,,,,,,,16,1,0,0,0,0,0,0,0,0,Infield shade,Standard,235.0,0.0,0.045,,,0-0,0.96,7.08,Offspeed balls,Other
Four-Seam,2023-10-01,92.9,-2.62,5.44,"Schwarber, Kyle",656941,676130,field_out,hit_into_play,,,,,4,"Kyle Schwarber grounds out, second baseman Ronny Mauricio to first baseman Pete Alonso.",R,L,R,NYM,PHI,X,4.0,ground_ball,1,0,2023,-0.7,1.28,-0.31,2.57,,,,0,1,Top,144.18,150.86,,,682626,,,7.398505263569427,-135.10003850643778,-4.350227247653979,-10.184505841258762,29.949860310499968,-15.688732936788202,3.32,1.57,31.0,110.2,-3.0,92.3,2367.0,6.0,716355,676130,682626,624413,677595,683146,596019,641796,542364,621466,54.5,0.469,0.435,0.0,1.0,0.0,0.0,Flare/Burner,1,2,0,0,0,0,0,0,0,0,Infield shade,Standard,218.0,0.022,-0.275,,,1-0,15.36,8.399999999999999,Fastballs,Topped
Four-Seam,2023-10-01,93.2,-2.55,5.55,"Schwarber, Kyle",656941,676130,,ball,,,,,11,"Kyle Schwarber grounds out, second baseman Ronny Mauricio to first baseman Pete Alonso.",R,L,R,NYM,PHI,B,,,0,0,2023,-0.61,1.4,-1.4,3.56,,,,0,1,Top,,,,,682626,,,4.256565269838326,-135.7152643530603,-2.4093838006004846,-8.460220158238629,30.432030722725155,-14.571092095550815,3.4,1.52,,,,92.2,2437.0,5.7,716355,676130,682626,624413,677595,683146,596019,641796,542364,621466,54.78,,,,,,,,1,1,0,0,0,0,0,0,0,0,Infield shade,Standard,207.0,0.0,0.036,,,0-0,16.799999999999997,7.32,Fastballs,Other
Sinker,2023-09-30,89.8,2.26,5.69,"Schwarber, Kyle",656941,500779,home_run,hit_into_play,,,,,5,Kyle Schwarber homers (47) on a fly ball to right field.    Johan Rojas scores.    Cristian Pache scores.,R,L,L,NYM,PHI,X,,fly_ball,2,2,2023,1.19,1.1,-0.15,2.5,679032.0,,665506.0,1,4,Top,233.63,82.68,,,682626,,,-8.53877192487396,-130.33617415079,-4.170589405270577,15.48173596259172,30.403738316179787,-18.963071567619384,3.29,1.55,389.0,104.0,28.0,89.7,2076.0,6.6,716393,500779,682626,668901,677595,683146,596019,641796,542364,621466,53.86,0.877,1.717,2.0,1.0,0.0,3.0,Barrel,37,6,8,1,1,8,4,8,4,8,Standard,Standard,156.0,-0.059,2.208,,,2-2,13.200000000000001,-14.28,Fastballs,Sweet Spot
Slurve,2023-09-30,76.2,2.24,5.59,"Schwarber, Kyle",656941,500779,,foul,,,,,13,Kyle Schwarber homers (47) on a fly ball to right field.    Johan Rojas scores.    Cristian Pache scores.,R,L,L,NYM,PHI,S,,,2,2,2023,-1.59,0.12,-0.96,1.66,679032.0,,665506.0,1,4,Top,,,,,682626,,,-3.88873323660805,-110.8696474270498,-1.3106897302782312,-12.063567455206986,23.62824692620065,-31.136769548013817,3.29,1.55,113.0,52.1,19.0,75.8,2390.0,6.4,716393,500779,682626,668901,677595,683146,596019,641796,542364,621466,54.06,,,,,,,,37,5,8,1,1,8,1,8,1,8,Standard,Standard,310.0,0.0,0.0,,,2-2,1.44,19.080000000000002,Breaking balls,Sweet Spot
Sinker,2023-09-30,91.9,2.18,5.63,"Schwarber, Kyle",656941,500779,,foul,,,,,8,Kyle Schwarber homers (47) on a fly ball to right field.    Johan Rojas scores.    Cristian Pache scores.,R,L,L,NYM,PHI,S,,,2,1,2023,1.32,1.22,-0.16,1.48,679032.0,,665506.0,1,4,Top,,,,,682626,,,-8.855004156963439,-133.21706331781502,-7.157537759813418,17.852227712907347,37.189824069714106,-16.169187120873886,3.29,1.55,3.0,62.7,-27.0,91.3,2303.0,6.9,716393,500779,682626,668901,677595,683146,596019,641796,542364,621466,53.64,,,,,,,,37,4,8,1,1,8,1,8,1,8,Standard,Standard,173.0,0.0,-0.192,,,2-1,14.64,-15.84,Fastballs,Topped
